STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Upper Lake Unified School District,601442,601442,438,7,257,10,84,38,964,8,36,1,2,2
CALIFORNIA,Tulelake Basin Joint Unified School District,639940,639940,92,2,345,0,1,9,5491,492,832,230,27,247
CALIFORNIA,Big Sur Unified School District,600031,600031,67,0,26,3,0,13,130,5,7,1,2,8
CALIFORNIA,Monterey Peninsula Unified School District,625530,625530,2123,530,6194,1137,31,717,614,7,27,0,4,13
CALIFORNIA,Soledad Unified School District,637050,637050,103,19,4624,86,8,16,1306,22,86,22,25,25
CALIFORNIA,Carmel Unified School District,607530,607530,1553,9,463,113,6,365,1005,7,116,11,30,68
CALIFORNIA,Scott Valley Unified School District,600159,600159,411,6,81,15,82,60,1452,39,104,62,14,71
CALIFORNIA,Pierce Joint Unified School District,630360,630360,317,21,1103,22,0,17,942,2,57,7,1,13
CALIFORNIA,Moreno Valley Unified School District,625800,625800,2562,4756,23678,1450,90,872,525,2,29,6,260,66
CALIFORNIA,Pacific Grove Unified School District,629370,629370,1288,37,357,228,6,162,1033,18,260,6,7,43
CALIFORNIA,Gonzales Unified School District,600046,600046,43,3,2348,16,9,5,958,14,48,0,23,9
CALIFORNIA,Escalon Unified School District,612840,612840,1377,9,1375,64,8,62,2099,41,61,17,53,26
CALIFORNIA,Tracy Unified School District,600047,600047,3603,1033,8294,2838,49,609,379,4,9,1,3,4
CALIFORNIA,Val Verde Unified School District,691135,691135,1019,2904,14898,643,76,413,58,4,15,2,287,4
CALIFORNIA,Temecula Valley Unified School District,600028,600028,13005,1002,10030,2657,188,3035,135,3,9,1,5,7
CALIFORNIA,Hemet Unified School District,616920,616920,5940,1873,12346,503,195,853,1437,8,32,10,437,115
CALIFORNIA,Riverside Unified School District,633150,633150,9680,2940,26571,2102,177,1299,470,0,11,3,0,17
CALIFORNIA,ABC Unified School District,601620,601620,1308,1799,9436,7637,63,525,309,2,5,7,0,11
CALIFORNIA,Baldwin Park Unified School District,603690,603690,577,564,14575,1090,230,697,503,2,22,4,4,19
CALIFORNIA,Beverly Hills Unified School District,604830,604830,2923,111,319,509,8,153,580,6,22,7,4,25
CALIFORNIA,Burbank Unified School District,606450,606450,7375,418,5892,1476,57,886,2497,59,135,28,101,99
CALIFORNIA,Compton Unified School District,609620,609620,113,4357,18531,153,39,259,1192,17,310,17,94,66
CALIFORNIA,Downey Unified School District,611460,611460,1068,611,19815,650,39,120,210,0,9,0,0,11
CALIFORNIA,El Segundo Unified School District,612210,612210,1859,155,685,295,11,464,1101,16,17,5,1,30
CALIFORNIA,Glendora Unified School District,615270,615270,3116,92,3224,761,14,331,411,7,25,1,0,11
CALIFORNIA,La Ca<U+00F1>ada Unified School District,620130,620130,2048,32,467,1234,10,341,487,7,12,2,0,9
CALIFORNIA,Monrovia Unified School District,625320,625320,1144,357,3565,420,12,118,208,0,2,2,5,8
CALIFORNIA,Pomona Unified School District,631320,631320,898,1108,20827,1154,48,279,503,7,48,3,3,11
CALIFORNIA,San Gabriel Unified School District,634425,634425,485,107,2505,2828,26,351,667,1,3,7,0,10
CALIFORNIA,Walnut Valley Unified School District,641280,641280,1140,291,3410,9190,11,477,731,4,67,3,1,11
CALIFORNIA,Acton-Agua Dulce Unified School District,600001,600001,4202,711,3473,554,36,1040,541,1,21,4,2,3
CALIFORNIA,Dinuba Unified School District,600065,600065,317,28,6066,137,37,1,552,2,13,3,10,7
