"","X","bref_season","min_playerid","season","Name","Age","LevEq","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","Bryant"
"45",46,"pence-001hun_2013","pence-001hun",2013,"Hunter Pence",30,4,162,687,629,91,178,35,5,27,99,22,3,52,115,0.283,0.339,0.483,0.822,"Similar Player"
"46",47,"pence-001hun_2014","pence-001hun",2014,"Hunter Pence",31,4,162,708,650,106,180,29,10,20,74,13,6,52,130,0.277,0.332,0.445,0.777,"Similar Player"
"47",48,"teixei001mar_2003","teixei001mar",2003,"Mark Teixeira#",23,4,146,589,529,66,137,29,5,26,84,1,2,44,120,0.259,0.331,0.48,0.811,"Similar Player"
"48",49,"teixei001mar_2004","teixei001mar",2004,"Mark Teixeira#",24,3,146,629,548,101,153,34,2,38,112,4,1,68,118,0.279,0.369,0.557,0.925,"Similar Player"
"49",50,"teixei001mar_2005","teixei001mar",2005,"Mark Teixeira#",25,4,162,730,644,112,194,41,3,43,144,4,0,72,124,0.301,0.379,0.575,0.954,"Similar Player"
"50",51,"teixei001mar_2006","teixei001mar",2006,"Mark Teixeira#",26,4,162,727,628,99,177,45,1,33,110,2,0,89,128,0.282,0.371,0.514,0.886,"Similar Player"
"51",52,"teixei001mar_2007","teixei001mar",2007,"Mark Teixeira#",27,3.3333333333,133,579,496,86,151,33,2,30,105,0,0,74,112,0.304,0.401,0.56,0.961,"Similar Player"
"52",53,"teixei001mar_2008","teixei001mar",2008,"Mark Teixeira#",28,4,157,685,574,102,177,41,0,33,121,2,0,97,93,0.308,0.41,0.552,0.962,"Similar Player"
"53",54,"teixei001mar_2009","teixei001mar",2009,"Mark Teixeira#",29,4,156,707,609,103,178,43,3,39,122,2,0,81,114,0.292,0.383,0.565,0.948,"Similar Player"
"54",55,"teixei001mar_2010","teixei001mar",2010,"Mark Teixeira#",30,4,158,712,601,113,154,36,0,33,108,0,1,93,122,0.256,0.365,0.481,0.846,"Similar Player"
"55",56,"teixei001mar_2011","teixei001mar",2011,"Mark Teixeira#",31,4,156,684,589,90,146,26,1,39,111,4,1,76,110,0.248,0.341,0.494,0.835,"Similar Player"
"56",58,"bryant001kri_2015","bryant001kri",2015,"Kris Bryant",23,3,130,548,489,76,138,32,5,24,83,9,4,47,105,0.282,0.35,0.515,0.865,"Bryant"
"57",59,"bryant001kri_2016","bryant001kri",2016,"Kris Bryant",24,4,132,551,492,77,140,32,5,23,77,8,4,49,107,0.285,0.354,0.51,0.864,"Bryant"
"58",60,"bryant001kri_2017","bryant001kri",2017,"Kris Bryant",25,4,115,476,424,66,121,26,3,20,72,7,4,43,89,0.285,0.356,0.502,0.859,"Bryant"
"59",61,"bryant001kri_2018","bryant001kri",2018,"Kris Bryant",26,4,129,543,478,76,135,31,3,22,73,7,4,56,93,0.282,0.363,0.498,0.861,"Bryant"
"60",62,"bryant001kri_2019","bryant001kri",2019,"Kris Bryant",27,4,148,635,569,92,169,36,4,28,94,15,6,58,104,0.297,0.365,0.522,0.887,"Bryant"
"61",63,"bryant001kri_2020","bryant001kri",2020,"Kris Bryant",28,4,151,647,574,87,174,38,3,25,94,11,3,64,109,0.303,0.376,0.51,0.886,"Bryant"
"62",64,"bryant001kri_2021","bryant001kri",2021,"Kris Bryant",29,4,127,532,475,70,130,26,4,20,77,5,3,47,96,0.274,0.343,0.472,0.815,"Bryant"
"63",65,"bryant001kri_2022","bryant001kri",2022,"Kris Bryant",30,4,143,591,525,81,141,32,3,21,81,10,3,56,104,0.269,0.345,0.461,0.806,"Bryant"
"64",66,"bryant001kri_2023","bryant001kri",2023,"Kris Bryant",31,4,159,696,620,98,163,28,6,30,93,9,4,64,120,0.263,0.336,0.473,0.808,"Bryant"
