STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,SCHOOLID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
WISCONSIN,FIFTY-THIRD STREET ELEMENTARY,5509600,5509600,550960001162,13,412,21,8,3,13,472,2,20,2,1,18
WISCONSIN,FOREST HOME ELEMENTARY,5509600,5509600,550960001163,39,115,555,5,1,7,421,6,14,10,54,23
WISCONSIN,FRANKLIN ELEMENTARY,5509600,5509600,550960001165,3,336,4,0,2,1,425,2,31,2,0,12
WISCONSIN,FRATNEY ELEMENTARY,5509600,5509600,550960001166,64,104,266,5,1,14,678,4,14,3,0,14
WISCONSIN,GAENSLEN ELEMENTARY,5509600,5509600,550960001169,41,604,76,16,3,21,627,3,20,4,1,11
WISCONSIN,GARLAND ELEMENTARY,5509600,5509600,550960001172,278,49,135,87,1,6,353,0,30,0,0,6
WISCONSIN,GOODRICH ELEMENTARY,5509600,5509600,550960001173,26,198,22,44,2,10,487,6,95,4,9,5
WISCONSIN,GRANDVIEW HIGH,5509600,5509600,550960002577,17,44,169,0,4,0,565,1,9,2,8,11
WISCONSIN,GRANT ELEMENTARY,5509600,5509600,550960001175,67,73,429,62,9,9,1860,34,99,98,7,63
WISCONSIN,GRANTOSA DRIVE ELEMENTARY,5509600,5509600,550960001176,12,564,16,11,3,13,2586,100,210,115,95,233
WISCONSIN,GREEN BAY AVENUE SCHOOL,5509600,5509600,550960003050,0,0,0,0,0,0,5502,133,178,149,53,158
WISCONSIN,GREENFIELD BILINGUAL,5509600,5509600,550960001179,12,38,595,5,1,2,408,7,33,3,1,17
WISCONSIN,GROPPI HIGH,5509600,5509600,550960000963,4,182,4,0,0,1,3044,123,190,130,6,155
WISCONSIN,HAMILTON HIGH,5509600,5509600,550960001180,226,655,813,80,20,22,1068,7,27,0,6,18
WISCONSIN,HAMPTON ELEMENTARY,5509600,5509600,550960001181,5,188,6,17,0,7,461,6,50,1,2,13
WISCONSIN,HAPA-HMONG AMERICAN PEACE ACADEMY K3-12,5509600,5509600,550960002979,6,11,10,1446,0,7,1392,8,57,15,10,36
WISCONSIN,HARTFORD AVENUE ELEMENTARY,5509600,5509600,550960001183,25,485,30,13,3,17,412,6,6,4,0,12
WISCONSIN,HAWLEY ENVIRONMENTAL SCHOOL,5509600,5509600,550960001184,37,224,43,26,2,22,2844,248,191,288,1,142
WISCONSIN,HAWTHORNE ELEMENTARY,5509600,5509600,550960001185,4,269,18,0,2,10,2374,57,350,23,22,76
WISCONSIN,HAYES BILINGUAL SCHOOL,5509600,5509600,550960000680,9,5,610,0,0,1,534,1,129,1,1,19
WISCONSIN,HI-MOUNT ELEMENTARY,5509600,5509600,550960001187,3,233,8,4,1,5,1231,20,91,12,1,21
WISCONSIN,HIGHLAND COMMUNITY SCHOOL,5509600,5509600,550960001847,143,155,45,4,3,40,927,18,68,4,5,7
WISCONSIN,HOLMES ELEMENTARY,5509600,5509600,550960001188,4,270,4,0,0,6,1672,32,108,10,2,25
WISCONSIN,HONEY CREEK ELEMENTARY,5509600,5509600,550960001246,162,63,128,14,6,18,3121,34,148,75,2,90
WISCONSIN,HOPKINS LLOYD COMMUNITY SCHOOL,5509600,5509600,550960001208,5,260,3,4,2,4,2642,104,173,55,5,138
WISCONSIN,HOWARD AVENUE MONTESSORI SCHOOL,5509600,5509600,550960002911,168,10,57,8,3,11,2593,1549,2240,55,52,454
WISCONSIN,HUMBOLDT PARK ELEMENTARY,5509600,5509600,550960001190,189,52,116,228,2,7,1621,22,159,6,1,53
WISCONSIN,IDEAL,5509600,5509600,550960002493,97,46,160,14,7,9,7527,575,1283,222,38,661
WISCONSIN,JACKSON ELEMENTARY,5509600,5509600,550960001261,4,297,3,2,0,0,658,4,18,3,3,13
WISCONSIN,JAMES MADISON ACADEMIC CAMPUS,5509600,5509600,550960002700,17,628,15,28,1,13,427,4,8,6,10,4
WISCONSIN,KAGEL ELEMENTARY,5509600,5509600,550960001195,9,42,227,1,2,7,2701,98,622,24,18,113
WISCONSIN,KEEFE AVENUE ELEMENTARY,5509600,5509600,550960001196,3,240,8,1,0,5,603,10,65,5,3,31
WISCONSIN,KILBOURN ELEMENTARY,5509600,5509600,550960001197,3,226,9,10,0,3,660,7,71,6,2,21
WISCONSIN,KING INTERNATIONAL,5509600,5509600,550960001199,299,869,177,157,8,19,2263,55,423,37,6,13
WISCONSIN,KING INTERNATIONAL BACCALAUREATE MIDDLE,5509600,5509600,550960002961,3,365,8,15,0,8,1809,12,80,8,231,140
WISCONSIN,KING JR ELEMENTARY,5509600,5509600,550960001178,2,344,5,1,2,1,363,12,339,3,1,5
WISCONSIN,KLUGE ELEMENTARY,5509600,5509600,550960001200,17,230,18,19,0,10,669,5,26,1,0,17
WISCONSIN,LA CAUSA CHARTER SCHOOL,5509600,5509600,550960001317,12,15,778,0,0,0,853,15,49,9,12,0
WISCONSIN,LAD LAKE SYNERGY SCHOOL,5509600,5509600,550960002567,3,39,12,2,0,3,309,3,15,2,0,7
WISCONSIN,LAFOLLETTE ELEMENTARY,5509600,5509600,550960001202,0,197,5,0,3,5,577,2,21,3,6,14
WISCONSIN,LANCASTER ELEMENTARY,5509600,5509600,550960001204,5,233,13,12,0,4,2807,30,93,246,7,131
WISCONSIN,LEE LEARNING CENTER,5509600,5509600,550960003058,0,0,0,0,0,0,691,5,14,1,0,12
WISCONSIN,LINCOLN AVENUE ELEMENTARY,5509600,5509600,550960001206,30,87,368,6,10,12,1043,132,94,18,9,39
WISCONSIN,LINCOLN MIDDLE,5509600,5509600,550960002302,9,481,189,7,2,14,1167,16,12,6,10,8
WISCONSIN,LONGFELLOW ELEMENTARY,5509600,5509600,550960001209,34,139,693,3,10,4,382,4,10,1,0,2
WISCONSIN,LOWELL ELEMENTARY,5509600,5509600,550960001210,58,66,114,17,4,9,793,8,13,4,11,5
WISCONSIN,MACDOWELL MONTESSORI SCHOOL K3-12,5509600,5509600,550960002931,164,418,71,21,8,45,1154,53,184,18,1,82
WISCONSIN,MANITOBA ELEMENTARY,5509600,5509600,550960001213,80,109,302,51,7,39,3508,69,209,60,3,135
WISCONSIN,MAPLE TREE ELEMENTARY,5509600,5509600,550960001214,12,239,10,12,1,9,702,9,31,2,3,20
WISCONSIN,MARSHALL HIGH,5509600,5509600,550960001215,48,727,24,63,2,12,471,5,24,0,1,15
WISCONSIN,MARYLAND MONTESSORI,5509600,5509600,550960001216,244,93,29,35,2,30,613,7,12,3,1,15
WISCONSIN,MEIR SCHOOL,5509600,5509600,550960001164,204,630,105,49,8,33,1434,2,61,13,46,50
WISCONSIN,METCALFE ELEMENTARY,5509600,5509600,550960002464,3,248,16,2,1,8,1359,34,115,36,9,19
WISCONSIN,MILWAUKEE ACADEMY OF CHINESE LANGUAGE,5509600,5509600,550960002720,11,289,9,118,2,6,3511,17,180,48,9,70
WISCONSIN,MILWAUKEE ACADEMY OF SCIENCE,5500042,5509600,550004202234,2,1042,10,0,1,2,4815,342,269,665,53,606
WISCONSIN,MILWAUKEE COLLEGE PREPARATORY SCHOOL -- 36TH STREET CAMPUS,5509600,5509600,550960002537,1,478,2,0,0,20,3363,35,67,314,12,101
WISCONSIN,MILWAUKEE COLLEGE PREPARATORY SCHOOL -- 38TH STREET,5509600,5509600,550960002853,2,477,7,0,0,11,593,3,9,6,6,0
WISCONSIN,MILWAUKEE COLLEGE PREPARATORY SCHOOL -- LLOYD STREET,5509600,5509600,550960002860,0,446,17,0,0,14,4602,95,244,755,25,157
WISCONSIN,MILWAUKEE COLLEGE PREPARATORY SCHOOL: LOLA ROWE NORTH CAMPUS,5509600,5509600,550960003006,2,466,12,0,0,8,5642,205,463,1598,64,433
